| $A$ | $B$ | $C$ | $D$ | $A \rightarrow B$ | $B \rightarrow C$ | $C \or D$ | $\neg B$ | $(C \or D) \leftrightarrow (\neg B)$ |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| T | T | T | T | T | T | T | F | F |
| T | T | T | F | T | T | T | F | F |
| T | T | F | T | T | F | T | F | F |
| T | T | F | F | T | F | F | F | T |
| T | F | T | T | F | T | T | T | T |
| T | F | T | F | F | T | T | T | T |
| T | F | F | T | F | T | T | T | T |
| T | F | F | F | F | T | F | T | F |
| F | T | T | T | T | T | T | F | F |
| F | T | T | F | T | T | T | F | F |
| F | T | F | T | T | F | T | F | F |
| F | T | F | F | T | F | F | F | T |
| F | F | T | T | T | T | T | T | T |
| F | F | T | F | T | T | T | T | T |
| F | F | F | T | T | T | T | T | T |
| F | F | F | F | T | T | F | T | F |




